,season,league_name,team,goals,goals_against,points,matches,dif_goals,pos,goals_diff,tot_teams,position,quart,quartile,weighed_rating,points_per_match
244,2014/2015,England Premier League,West Ham United,44,47,47.0,38,-3,12,-3,20,12,0.6,3.0,73.73251028806582,1.236842105263158
245,2014/2015,England Premier League,West Bromwich Albion,38,51,44.0,38,-13,13,-13,20,13,0.65,3.0,73.66578159041396,1.1578947368421053
246,2014/2015,England Premier League,Leicester City,46,55,41.0,38,-9,14,-9,20,14,0.7,3.0,70.60466507177034,1.0789473684210527
247,2014/2015,England Premier League,Newcastle United,40,63,39.0,38,-23,15,-23,20,15,0.75,3.0,73.7523524720893,1.0263157894736843
248,2014/2015,England Premier League,Sunderland,31,53,38.0,38,-22,16,-22,20,16,0.8,4.0,73.55677830940988,1.0
249,2014/2015,England Premier League,Aston Villa,31,57,38.0,38,-26,17,-26,20,17,0.85,4.0,74.39097335413126,1.0
250,2014/2015,England Premier League,Hull City,33,51,35.0,38,-18,18,-18,20,18,0.9,4.0,72.33285486443381,0.9210526315789473
251,2014/2015,England Premier League,Burnley,28,53,33.0,38,-25,19,-25,20,19,0.95,4.0,70.47931890677107,0.868421052631579
252,2014/2015,England Premier League,Queens Park Rangers,42,73,30.0,38,-31,20,-31,20,20,1.0,4.0,73.72521265284422,0.7894736842105263
253,2015/2016,England Premier League,Leicester City,68,36,81.0,38,32,1,32,20,1,0.05,1.0,74.894762215456,2.1315789473684212
254,2015/2016,England Premier League,Arsenal,65,36,71.0,38,29,2,29,20,2,0.1,1.0,80.97520790612894,1.868421052631579
255,2015/2016,England Premier League,Tottenham Hotspur,69,35,70.0,38,34,3,34,20,3,0.15,1.0,78.95178286625654,1.8421052631578947
256,2015/2016,England Premier League,Manchester City,71,41,66.0,38,30,4,30,20,4,0.2,1.0,82.03058213716108,1.736842105263158
257,2015/2016,England Premier League,Manchester United,49,35,66.0,38,14,5,14,20,5,0.25,1.0,79.95837320574161,1.736842105263158
258,2015/2016,England Premier League,Southampton,59,41,63.0,38,18,6,18,20,6,0.3,2.0,76.40362838915472,1.6578947368421053
259,2015/2016,England Premier League,West Ham United,65,51,62.0,38,14,7,14,20,7,0.35,2.0,76.23095524267396,1.631578947368421
260,2015/2016,England Premier League,Liverpool,63,50,60.0,38,13,8,13,20,8,0.4,2.0,78.05197368421055,1.5789473684210527
261,2015/2016,England Premier League,Stoke City,41,55,51.0,38,-14,9,-14,20,9,0.45,2.0,76.56939870337,1.3421052631578947
262,2015/2016,England Premier League,Chelsea,59,53,50.0,38,6,10,6,20,10,0.5,2.0,82.44449001291107,1.3157894736842106
263,2015/2016,England Premier League,Everton,59,55,47.0,38,4,11,4,20,11,0.55,3.0,77.75157017243347,1.236842105263158
264,2015/2016,England Premier League,Swansea City,42,52,47.0,38,-10,12,-10,20,12,0.6,3.0,76.73612535125694,1.236842105263158
265,2015/2016,England Premier League,Watford,40,50,45.0,38,-10,13,-10,20,13,0.65,3.0,74.13350421508316,1.1842105263157894
266,2015/2016,England Premier League,West Bromwich Albion,34,48,43.0,38,-14,14,-14,20,14,0.7,3.0,74.68700159489633,1.131578947368421
267,2015/2016,England Premier League,Crystal Palace,39,51,42.0,38,-12,15,-12,20,15,0.75,3.0,75.57059314954051,1.105263157894737
268,2015/2016,England Premier League,Bournemouth,45,67,42.0,38,-22,16,-22,20,16,0.8,4.0,72.19377990430623,1.105263157894737
269,2015/2016,England Premier League,Sunderland,48,62,39.0,38,-14,17,-14,20,17,0.85,4.0,75.10631313131312,1.0263157894736843
270,2015/2016,England Premier League,Newcastle United,44,65,37.0,38,-21,18,-21,20,18,0.9,4.0,75.27031214399634,0.9736842105263158
271,2015/2016,England Premier League,Norwich City,39,67,34.0,38,-28,19,-28,20,19,0.95,4.0,73.4096263385737,0.8947368421052632
272,2015/2016,England Premier League,Aston Villa,27,76,17.0,38,-49,20,-49,20,20,1.0,4.0,74.83714779372674,0.4473684210526316
433,2008/2009,Germany 1. Bundesliga,VfL Wolfsburg,80,41,69.0,34,39,1,39,18,1,0.05555555555555555,1.0,75.89757412398924,2.0294117647058822
434,2008/2009,Germany 1. Bundesliga,FC Bayern Munich,71,42,67.0,34,29,2,29,18,2,0.1111111111111111,1.0,82.20588235294119,1.9705882352941178
435,2008/2009,Germany 1. Bundesliga,VfB Stuttgart,63,43,64.0,34,20,3,20,18,3,0.16666666666666666,1.0,75.54679144385027,1.8823529411764706
436,2008/2009,Germany 1. Bundesliga,Hertha BSC Berlin,48,41,63.0,34,7,4,7,18,4,0.2222222222222222,1.0,74.03753351206433,1.8529411764705883
437,2008/2009,Germany 1. Bundesliga,Hamburger SV,49,47,61.0,34,2,5,2,18,5,0.2777777777777778,2.0,76.35561497326204,1.7941176470588236
438,2008/2009,Germany 1. Bundesliga,Borussia Dortmund,60,37,59.0,34,23,6,23,18,6,0.3333333333333333,2.0,75.69117647058823,1.7352941176470589
439,2008/2009,Germany 1. Bundesliga,TSG 1899 Hoffenheim,63,49,55.0,34,14,7,14,18,7,0.3888888888888889,2.0,71.9731182795699,1.6176470588235294
440,2008/2009,Germany 1. Bundesliga,FC Schalke 04,47,35,50.0,34,12,8,12,18,8,0.4444444444444444,2.0,78.63903743315507,1.4705882352941178
441,2008/2009,Germany 1. Bundesliga,Bayer 04 Leverkusen,59,46,49.0,34,13,9,13,18,9,0.5,2.0,77.84864864864866,1.4411764705882353
442,2008/2009,Germany 1. Bundesliga,SV Werder Bremen,64,50,45.0,34,14,10,14,18,10,0.5555555555555556,3.0,77.96524064171123,1.3235294117647058
443,2008/2009,Germany 1. Bundesliga,Hannover 96,49,69,40.0,34,-20,11,-20,18,11,0.6111111111111112,3.0,73.37154696132598,1.1764705882352942
444,2008/2009,Germany 1. Bundesliga,1. FC Köln,35,50,39.0,34,-15,12,-15,18,12,0.6666666666666666,3.0,70.83689839572192,1.1470588235294117
445,2008/2009,Germany 1. Bundesliga,Eintracht Frankfurt,39,60,33.0,34,-21,13,-21,18,13,0.7222222222222222,3.0,71.77809798270893,0.9705882352941176
446,2008/2009,Germany 1. Bundesliga,VfL Bochum,39,55,32.0,34,-16,14,-16,18,14,0.7777777777777778,4.0,71.76430517711172,0.9411764705882353
447,2008/2009,Germany 1. Bundesliga,Borussia Mönchengladbach,39,62,31.0,34,-23,15,-23,18,15,0.8333333333333334,4.0,70.91807909604519,0.9117647058823529
448,2008/2009,Germany 1. Bundesliga,FC Energie Cottbus,30,57,30.0,34,-27,16,-27,18,16,0.8888888888888888,4.0,68.73497267759562,0.8823529411764706
449,2008/2009,Germany 1. Bundesliga,Karlsruher SC,30,54,29.0,34,-24,17,-24,18,17,0.9444444444444444,4.0,70.85054347826086,0.8529411764705882
450,2008/2009,Germany 1. Bundesliga,DSC Arminia Bielefeld,29,56,28.0,34,-27,18,-27,18,18,1.0,4.0,70.13636363636363,0.8235294117647058
451,2009/2010,Germany 1. Bundesliga,FC Bayern Munich,72,31,70.0,34,41,1,41,18,1,0.05555555555555555,1.0,79.41711229946524,2.0588235294117645
452,2009/2010,Germany 1. Bundesliga,FC Schalke 04,53,31,65.0,34,22,2,22,18,2,0.1111111111111111,1.0,76.40909090909089,1.911764705882353
453,2009/2010,Germany 1. Bundesliga,SV Werder Bremen,71,40,61.0,34,31,3,31,18,3,0.16666666666666666,1.0,78.40909090909092,1.7941176470588236
454,2009/2010,Germany 1. Bundesliga,Bayer 04 Leverkusen,65,38,59.0,34,27,4,27,18,4,0.2222222222222222,1.0,77.41844919786098,1.7352941176470589
455,2009/2010,Germany 1. Bundesliga,Borussia Dortmund,54,42,57.0,34,12,5,12,18,5,0.2777777777777778,2.0,76.22860962566844,1.6764705882352942
456,2009/2010,Germany 1. Bundesliga,VfB Stuttgart,51,41,55.0,34,10,6,10,18,6,0.3333333333333333,2.0,76.23663101604278,1.6176470588235294
457,2009/2010,Germany 1. Bundesliga,Hamburger SV,56,41,52.0,34,15,7,15,18,7,0.3888888888888889,2.0,77.44652406417111,1.5294117647058822
458,2009/2010,Germany 1. Bundesliga,VfL Wolfsburg,64,58,50.0,34,6,8,6,18,8,0.4444444444444444,2.0,78.0427807486631,1.4705882352941178
459,2009/2010,Germany 1. Bundesliga,1. FSV Mainz 05,36,42,47.0,34,-6,9,-6,18,9,0.5,2.0,71.11497326203208,1.3823529411764706
460,2009/2010,Germany 1. Bundesliga,Eintracht Frankfurt,47,54,46.0,34,-7,10,-7,18,10,0.5555555555555556,3.0,72.91786743515851,1.3529411764705883
461,2009/2010,Germany 1. Bundesliga,TSG 1899 Hoffenheim,44,42,42.0,34,2,11,2,18,11,0.6111111111111112,3.0,76.19251336898397,1.2352941176470589
462,2009/2010,Germany 1. Bundesliga,Borussia Mönchengladbach,43,60,39.0,34,-17,12,-17,18,12,0.6666666666666666,3.0,73.19786096256684,1.1470588235294117
463,2009/2010,Germany 1. Bundesliga,1. FC Köln,33,42,38.0,34,-9,13,-9,18,13,0.7222222222222222,3.0,73.77479892761394,1.1176470588235294
464,2009/2010,Germany 1. Bundesliga,SC Freiburg,35,59,35.0,34,-24,14,-24,18,14,0.7777777777777778,4.0,69.21925133689841,1.0294117647058822
465,2009/2010,Germany 1. Bundesliga,Hannover 96,43,67,33.0,34,-24,15,-24,18,15,0.8333333333333334,4.0,72.0965147453083,0.9705882352941176
466,2009/2010,Germany 1. Bundesliga,1. FC Nürnberg,32,58,31.0,34,-26,16,-26,18,16,0.8888888888888888,4.0,70.60828877005348,0.9117647058823529
467,2009/2010,Germany 1. Bundesliga,VfL Bochum,33,64,28.0,34,-31,17,-31,18,17,0.9444444444444444,4.0,71.67134831460673,0.8235294117647058
468,2009/2010,Germany 1. Bundesliga,Hertha BSC Berlin,34,56,24.0,34,-22,18,-22,18,18,1.0,4.0,73.88648648648649,0.7058823529411765
469,2010/2011,Germany 1. Bundesliga,Borussia Dortmund,67,22,75.0,34,45,1,45,18,1,0.05555555555555555,1.0,77.0,2.2058823529411766
470,2010/2011,Germany 1. Bundesliga,Bayer 04 Leverkusen,64,44,68.0,34,20,2,20,18,2,0.1111111111111111,1.0,78.03877005347594,2.0
471,2010/2011,Germany 1. Bundesliga,FC Bayern Munich,81,40,65.0,34,41,3,41,18,3,0.16666666666666666,1.0,80.29144385026738,1.911764705882353
472,2010/2011,Germany 1. Bundesliga,Hannover 96,49,45,60.0,34,4,4,4,18,4,0.2222222222222222,1.0,72.37032085561498,1.7647058823529411
473,2010/2011,Germany 1. Bundesliga,1. FSV Mainz 05,52,39,58.0,34,13,5,13,18,5,0.2777777777777778,2.0,71.89438502673798,1.7058823529411764
474,2010/2011,Germany 1. Bundesliga,1. FC Nürnberg,47,45,47.0,34,2,6,2,18,6,0.3333333333333333,2.0,70.65013404825736,1.3823529411764706
475,2010/2011,Germany 1. Bundesliga,1. FC Kaiserslautern,48,51,46.0,34,-3,7,-3,18,7,0.3888888888888889,2.0,69.82123655913979,1.3529411764705883
476,2010/2011,Germany 1. Bundesliga,Hamburger SV,46,52,45.0,34,-6,8,-6,18,8,0.4444444444444444,2.0,76.85294117647061,1.3235294117647058
477,2010/2011,Germany 1. Bundesliga,SC Freiburg,41,50,44.0,34,-9,9,-9,18,9,0.5,2.0,70.7072192513369,1.2941176470588236
478,2010/2011,Germany 1. Bundesliga,1. FC Köln,47,62,44.0,34,-15,10,-15,18,10,0.5555555555555556,3.0,73.17647058823529,1.2941176470588236
479,2010/2011,Germany 1. Bundesliga,TSG 1899 Hoffenheim,50,50,43.0,34,0,11,0,18,11,0.6111111111111112,3.0,74.3542780748663,1.2647058823529411
480,2010/2011,Germany 1. Bundesliga,VfB Stuttgart,60,59,42.0,34,1,12,1,18,12,0.6666666666666666,3.0,74.57887700534761,1.2352941176470589
481,2010/2011,Germany 1. Bundesliga,SV Werder Bremen,47,61,41.0,34,-14,13,-14,18,13,0.7222222222222222,3.0,76.37265415549597,1.2058823529411764
